Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
Disha Madan,disha.madan,9.2,697100,52000.0,239800.0,7.47,Bengaluru,Arts and Entertainment,Mega
Neeraja Kona,neeraja.kona,7.81,696200,3500.0,97600.0,0.5,Hyderabad,Lifestyle and Fashion,Mega
Deeksha Khurana,deekshakhurana,9.0,692700,40200.0,64700.0,5.81,New Delhi,Lifestyle and Fashion,Mega
Larissa D'sa,larissa_wlc,8.67,690500,23500.0,56200.0,3.43,Mumbai,Lifestyle and Fashion,Mega
MyGlamm,myglamm,6.5,680000,376.0,22800.0,0.06,India,Lifestyle and Fashion,Mega
Ami Patel,stylebyami,7.7,661700,2100.0,29700.0,0.32,Mumbai,Lifestyle and Fashion,Mega
Ashima Sharma,ashimasharma_official,7.79,656000,3100.0,83000.0,0.49,Noida,Lifestyle and Fashion,Mega
Danish Khan,danishkhan.im,9.04,655700,41900.0,112800.0,6.43,Jammu,Lifestyle and Fashion,Mega
Rachel - PropShop24,propshop24,6.54,649200,385.0,23500.0,0.06,India,Lifestyle and Fashion,Mega
Insha Ghai,inshaghaii,7.77,649000,2900.0,116300.0,0.45,New Delhi,Lifestyle and Fashion,Mega
Nivrity Das,nivrity_das,9.05,645900,42500.0,185700.0,6.63,Kolkata,Lifestyle and Fashion,Mega
Kashish Chopra,imkashishanitaawadh,7.15,640200,706.0,9200.0,0.11,Mumbai,Lifestyle and Fashion,Mega
The Formal Edit,theformaledit,8.72,630700,25900.0,59200.0,4.15,Delhi,Lifestyle and Fashion,Mega
Akshata Sonawane,akshatasonawane,8.41,627000,10600.0,44800.0,1.7,Mumbai,Arts and Entertainment,Mega
Amy Chhabra,amy_chhabra,8.6,627000,20200.0,407800.0,3.23,New Delhi,Lifestyle and Fashion,Mega
Dc ??,dcshoot7,8.18,620700,7500.0,17800.0,1.22,Jalandhar,Lifestyle and Fashion,Mega
Ariya Hegde,ariya_hegde,8.57,619800,18700.0,110300.0,3.04,Bengaluru,Lifestyle and Fashion,Mega
Urmila Matondkar,urmilamatondkarofficial,8.28,618800,8500.0,35000.0,1.41,Mumbai,Lifestyle and Fashion,Mega
Vipul Juneja,vipul_juneja,8.94,609900,36900.0,125100.0,6.08,Delhi,Lifestyle and Fashion,Mega
Pragya Nagra,pragyanagra,9.2,609800,57300.0,73900.0,9.44,Chennai,Arts and Entertainment,Mega
