Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
Marathi Sanmaan,marathisanmaan,5.26,93700,107,7900,0.12,India,Sports,Micro
Travel,Travel,6.32,93500,321,9400,0.34,Dehradun,Travel,Micro
Shubhangi Jain | Mom Blogger |,diaper_and_mommy,7.6,92800,1000,13500,1.09,Mumbai,Family and Parenting,Micro
Mad Over Food | Bangalore,mad.over.f00d,6.57,92700,400,23200,0.45,Bengaluru,Food and Drink,Micro
SHAILESHJAIPUR,nonvegfoodie,7.65,92600,1600,15300,1.76,Rajasthan,Food and Drink,Micro
Shreya,shiri.meaw,7.75,92400,2700,5400,2.92,New Delhi,Food and Drink,Micro
The Culture Gully,theculturegully,7.12,92400,696,17400,0.76,New Delhi,Others,Micro
ITC Hotels Cares,itchotels,7.01,92300,635,3700,0.69,Gurgaon,Business,Micro
Travel,Travel,5.82,92100,177,7300,0.19,India,Travel,Micro
Chitwan Garg,chitwangarg,7.69,92000,2000,18100,2.19,Delhi,Health and Fitness,Micro
Hippie In Heels,hippieinheelsblog,2.0,92000,2000,0,2.28,Goa,Travel,Micro
Jannat Of Himachal ?,jannatofhimachal,2.0,91900,0,4800,1.29,Himachal Pradesh,Travel,Micro
Snehalata Jain,sneha_261013,7.4,91900,755,26300,0.96,Mumbai,Family and Parenting,Micro
�les De Guadeloupe,ilesguadeloupe,7.66,91900,1700,9700,1.89,Surat,Travel,Micro
Nearbuy,nearbuy,4.32,91900,46,739,0.05,India,Health and Fitness,Micro
Simran,ladywhoeats,7.61,91900,1100,6300,1.28,Delhi,Food and Drink,Micro
Punjabi Christians,punjabi_quote,4.32,91800,47,0,0.05,Jalandhar,Others,Micro
Navankur,navankurchaudhary,8.33,91800,9200,0,10.10,Haryana,Travel,Micro
G.venket Ram,venketramg,7.61,91700,1100,13500,1.23,Chennai,Arts and Entertainment,Micro
Wedding Twinkles,weddingtwinkles,5.36,91700,118,1100,0.13,New Delhi,Arts and Entertainment,Micro
Delhi Airport,delhiairport,5.38,91700,121,1100,0.13,New Delhi,Travel,Micro
Sagar Sheldekar,sagarsheldekar,7.66,91500,1700,6700,1.83,Pune,Automotive,Micro
Through My Pink Window,throughmypinkwindow,7.66,91400,1600,22800,1.89,Kolkata,Family and Parenting,Micro
??KolhapurSurvey�??,kolhapur_survey,7.9,91300,4400,42900,4.85,Kolhapur,Food and Drink,Micro
