Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Rohit Raj,rohitonweb,8,122k,5.5k,51.8k,4.56%,Mumbai,Business
Rathika Ramasamy,rathikaramasamy,4.56,121.6k,0,3.1k,0.05%,New Delhi,Arts and Entertainment
Kidsstoppress.com,kidsstoppress,4.81,121.3k,74,3.7k,0.06%,Mumbai,Family and Parenting
Vedang Kandalgaonkar,kanda.le.lo,7.63,121.2k,1.4k,7k,1.19%,Mumbai,Travel
Preetika,goodfoodindia,5.21,120.9k,101,646,0.08%,Delhi,Food and Drink
"Anant Ladha, CFA CA CFP",anantladha1234,7.7,120.8k,2.2k,4.7k,1.80%,India,Investment and Finance
Parupalli Kashyap,parupallikashyap,7.77,120.3k,2.9k,9.1k,2.44%,Hyderabad,Sports
Nilu Yuleena Thapa,bighairloudmouth,3.52,120.2k,0,1.6k,0.02%,Bengaluru,Lifestyle and Fashion
Travis Head,travishead34,8.03,120k,5.9k,12.1k,4.94%,India,Sports
Xtreme Moto Adventur,dg_the_wanderer,7.92,120k,4.6k,15.3k,3.86%,Delhi,Automotive
Rizwan Bachav,rizwanbachav,6.4,120k,296,4.2k,0.29%,Mumbai,Lifestyle and Fashion
Colored Ideas,coloredideas14,6.06,119.7k,222,0,0.19%,India,Travel
Screw,screw_1996,6.94,119.7k,586,4.4k,0.49%,Ernakulam,Technology
Anandita Agrawal,crazylilmum,7.7,119.6k,2.2k,15.3k,1.84%,Jaipur,Lifestyle and Fashion
Hrish Thota,dhempe,7.87,119.5k,3.9k,19.1k,3.39%,Bengaluru,Arts and Entertainment
Social Connoisseurs Blog,socialconnoisseurs_blog,5.55,119.4k,123,19.8k,0.12%,India,Lifestyle and Fashion
BIKER BOY ZAHIR,bikerboyzahir,8.42,119.2k,11.3k,14.1k,9.56%,India,Travel
Shaheen Abbas,shaheenabbas,6.35,118.9k,316,2k,0.28%,India,Food and Drink
Divya *fashionnova*,divyavermamakeupartist,7.71,118.9k,2.3k,9.3k,1.97%,Rajpura,Family and Parenting
Garima Bhandari,garimabhandariofficial,7.67,118.9k,1.6k,9.8k,1.56%,India,Lifestyle and Fashion
Memeswale,memeswale,7.31,118.6k,819,7.5k,0.69%,India,Technology
Ashish Sulkh,sulkh,7.7,118.6k,2.1k,6.8k,1.81%,India,Photography
Onlymyhealth,onlymyhealth,5.38,118.4k,123,679,0.10%,India,Health and Fitness
TeluguTitans_Kabaddi,telugu_titans,7.88,117.9k,4.1k,23k,3.52%,India,Sports
Shweta Srivastava,shwetasrii,7.6,117.4k,0.9k,6.7k,0.87%,Mumbai,Lifestyle and Fashion
Uttpal Krushna (UK),foodetweeter,7.93,117.4k,4.5k,18.2k,4.02%,Mumbai,Food and Drink
Suhail Khan,suhail_khan27,6.85,117.2k,516,5.2k,0.45%,India,Health and Fitness
"Kolkata, The City Of Joy",thisiskolkata,7.71,117.1k,2.3k,10.6k,2.00%,Kolkata,Travel
? ???? ?? ???? ?? ???? ? ?? ??,sabruush,8.11,116.6k,6.8k,0,5.84%,Vadodara,Business
Delhigram,delhigram,6.5,116.6k,384,3.2k,0.33%,Delhi,Food and Drink
Kolkata Sutra,kolkatasutra,7.63,116.4k,1.4k,5k,1.18%,Kolkata,Food and Drink
Street_food_,street_food_chandigarh,6.97,116.3k,600,15.7k,0.53%,Chandigarh,Food and Drink
Let’s Be Eloquent,letsbeeloquent,5.74,116k,166,2.8k,0.14%,India,Education
JustWravel,justwravel,6.07,115.9k,219,2.7k,0.20%,Noida,Lifestyle and Fashion
Natasha Diddee,thegutlessfoodie,4.68,115.6k,0,0,0.06%,Pune,Food and Drink
Geetha Sridhar,geetha_maa,4.76,115.3k,71,276,0.06%,Mumbai,Food and Drink
Mens Craze,ankitsttt,4.02,115.3k,33,1.8k,0.03%,Mumbai,Lifestyle and Fashion
Farha,mumfiesta,7.86,115.2k,3.8k,47.7k,3.41%,Delhi,Family and Parenting
Freddy,freddy_daruwala,7.49,115.2k,0.9k,3.3k,0.81%,Mumbai,Sports
Deepali Soam,myteenytot,7.82,115.1k,3.5k,46.9k,3.10%,Delhi,Family and Parenting
