Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Diljit Dosanjh,diljitdosanjh,9.25,13.5m,263.6k,784.9k,1.96%,India,Arts & EntertainmentMusic
Arjun Kapoor,arjunkapoor,9.2,13.4m,76.5k,162k,0.57%,India,Arts & EntertainmentMovies
Keerthy Suresh,keerthysureshofficial,9.33,13.3m,585.7k,687.2k,4.43%,India,Arts & EntertainmentMovies
Jennifer Winget,jenniferwinget1,9.25,13m,268.9k,830.7k,2.08%,India,Arts & EntertainmentTelevision
ARMAAN MALIK,armaanmalik,9.23,12.7m,164.8k,327k,1.33%,India,Arts & EntertainmentMovies
Remo D'souza,remodsouza,9.21,12.6m,113.7k,392.8k,0.91%,India,Arts & EntertainmentDance
Kajol,kajol,9.23,12.6m,190.7k,503.3k,1.53%,India,Arts & EntertainmentMovies
Anupama Parameswaran,anupamaparameswaran96,9.39,12.2m,822.4k,0.9m,6.77%,India,Arts & EntertainmentMovies
BADSHAH,badboyshah,9.21,12.1m,118.8k,345.6k,0.99%,India,Arts & EntertainmentMusic
Zareen Khan,zareenkhan,9.17,11.9m,48.3k,99.4k,0.41%,Mumbai,Arts & EntertainmentMovies
Bollywood,instantbollywood,9.13,11.7m,46.6k,111.4k,0.40%,India,Arts & EntertainmentMovies
Shehnaaz Gill,shehnaazgill,9.45,11.6m,1m,2.1m,9.00%,India,Arts & Entertainment
Amy Jackson,iamamyjackson,9.2,11.5m,70.7k,309k,0.62%,Mumbai,Arts & EntertainmentMovies
Adnaan Shaikh,adnaan_07dz,9.2,11.2m,81.9k,254.1k,0.76%,India,Arts & Entertainment
Bipasha Basu,bipashabasu,8.9,10.9m,35k,120.7k,0.32%,India,Arts & EntertainmentMovies
Yash,thenameisyash,9.49,10.8m,1.2m,2.5m,11.17%,India,Arts & EntertainmentMovies
Raghav Juyal,raghavjuyal,9.24,10.8m,233.3k,673.9k,2.16%,India,Arts & EntertainmentMovies
Sahil Khan,sahilkhan,9.23,10.8m,171.1k,431.7k,1.59%,India,Health & WellnessFitness
Kanika Kapoor,kanik4kapoor,9.25,10.6m,258.6k,0.9m,2.46%,Mumbai,Arts & EntertainmentMusic
Dulquer Salmaan,dqsalmaan,9.32,10.6m,554.3k,743.1k,5.26%,India,Arts & EntertainmentMovies
Siddharth Nigam,thesiddharthnigam,9.22,10.6m,129.4k,484.3k,1.24%,India,Arts & EntertainmentTelevision
SAMEEKSHA SUD,sameeksha.sud_,9.21,10.6m,103.3k,296.3k,0.99%,India,Arts & Entertainment
John Abraham,thejohnabraham,9.2,10.5m,74k,160.9k,0.71%,India,Arts & EntertainmentMovies
Himanshi Khurana,iamhimanshikhurana,9.21,10.5m,91.8k,404k,0.89%,Chandigarh,Arts & EntertainmentMovies
Vishal Pandey,vishalpandey_21,7.6,10.3m,0,92.7k,0.01%,India,Arts & Entertainment
Genelia Deshmukh,geneliad,9.26,10.1m,318.4k,1m,3.15%,India,Arts & EntertainmentMovies
Kangana Ranaut,kanganaranaut,9.22,9.7m,157.7k,670k,1.64%,Mumbai,Arts & Entertainment
